wlbName,wlbDstTestNumber,wlbDstFromDepth,wlbDstToDepth,wlbDstChokeSize,wlbDstFinShutInPress,wlbDstFinFlowPress,wlbDstBottomHolePress,wlbDstOilProd,wlbDstGasProd,wlbDstOilDensity,wlbDstGasDensity,wlbDstGasOilRelation,wlbNpdidWellbore,wlbDstDateUpdated,dateSyncNPD
2/4-4,4.0,3220,3226,19.0,27.000,4.000,15.000,168,32488,0.854,0.000,0,174,9999-12-31,2013-05-08
2/4-4,5.0,3177,3201,19.0,28.000,6.000,23.000,432,77655,0.848,0.000,0,174,9999-12-31,2013-05-08
2/4-4,6.0,3163,3168,19.0,26.000,2.000,9.000,107,26998,0.850,0.000,0,174,9999-12-31,2013-05-08
2/4-4,7.0,3128,3152,19.0,28.000,8.000,30.000,600,613800,0.847,0.000,1023,174,9999-12-31,2013-05-08
2/4-5,1.0,3165,3204,9.5,29.000,22.000,42.000,701,165696,0.838,0.896,0,177,9999-12-31,2013-05-08
2/4-5,2.0,3178,3187,5.6,32.000,23.000,44.000,433,94918,0.842,0.000,0,177,9999-12-31,2013-05-08
2/4-5,3.0,3107,3143,19.8,29.000,6.000,20.000,483,111785,0.840,0.000,0,177,9999-12-31,2013-05-08
2/4-5,4.0,3087,3098,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,177,9999-12-31,2013-05-08
2/4-5,5.0,3041,3075,9.5,25.000,16.000,34.000,411,92060,0.838,0.000,0,177,9999-12-31,2013-05-08
2/4-5,6.0,3043,3076,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,177,9999-12-31,2013-05-08
2/4-6,1.0,3370,3375,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,181,9999-12-31,2013-05-08
2/4-6,2.0,3271,3310,25.4,0.000,0.000,0.000,568,256736,0.812,0.000,452,181,9999-12-31,2013-05-08
2/4-6,3.0,3243,3246,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,181,9999-12-31,2013-05-08
2/4-6,4.0,3195,3216,25.4,0.000,0.000,0.000,609,221676,0.819,0.000,364,181,9999-12-31,2013-05-08
2/4-6,5.0,3125,3152,25.4,48.000,45.000,45.000,747,402539,0.804,0.000,539,181,9999-12-31,2013-05-08
2/4-7,1.0,3367,3370,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,196,9999-12-31,2013-05-08
2/4-7,2.0,3346,3349,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,196,9999-12-31,2013-05-08
2/4-7,3.0,3304,3329,0.0,0.000,0.000,0.000,551,736231,0.000,0.000,0,196,9999-12-31,2013-05-08
2/4-7,4.0,3250,3261,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,196,9999-12-31,2013-05-08
2/4-7,5.0,3176,3204,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,196,9999-12-31,2013-05-08
2/4-7,6.0,3176,3182,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,196,9999-12-31,2013-05-08
2/4-7,7.0,3189,3204,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,196,9999-12-31,2013-05-08
2/4-8,1.0,3194,3204,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,252,9999-12-31,2013-05-08
2/4-8,2.0,3185,3194,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,252,9999-12-31,2013-05-08
2/4-8,3.0,3181,3191,12.4,0.000,0.000,0.000,443,707028,0.885,0.000,1596,252,9999-12-31,2013-05-08
2/4-8,4.0,3194,3204,25.4,0.000,0.000,0.000,175,326025,0.822,0.000,1863,252,9999-12-31,2013-05-08
2/4-8,5.0,3091,3158,6.3,0.000,0.000,0.000,654,1316502,0.821,0.000,2013,252,9999-12-31,2013-05-08
2/4-8,6.0,3014,3042,11.1,0.000,0.000,0.000,360,519480,0.820,0.000,1443,252,9999-12-31,2013-05-08
2/4-8,7.0,2996,3002,0.0,0.000,0.000,0.000,71,133906,0.000,0.000,1886,252,9999-12-31,2013-05-08
2/4-9,1.0,3360,3369,38.0,0.000,0.000,0.000,121,97700,0.802,0.000,801,253,9999-12-31,2013-05-08
2/4-9,2.0,3308,3369,9.1,0.000,0.000,0.000,461,455900,0.802,0.000,977,253,9999-12-31,2013-05-08
2/4-9,3.0,3274,3283,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,253,9999-12-31,2013-05-08
2/4-9,4.0,3222,3224,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,253,9999-12-31,2013-05-08
2/5-1,1.0,3042,3101,0.0,0.000,0.000,46.000,209,223212,0.000,0.000,1068,178,9999-12-31,2013-05-08
2/5-1,2.0,3274,3277,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,178,9999-12-31,2013-05-08
2/5-1,4.0,3244,3248,0.0,0.000,0.000,0.000,425,612000,0.000,0.000,1440,178,9999-12-31,2013-05-08
2/5-1,5.0,3285,3234,0.0,0.000,0.000,0.000,145,0,0.000,0.000,0,178,9999-12-31,2013-05-08
2/5-1,6.0,3225,3234,0.0,0.000,0.000,0.000,445,0,0.000,0.000,0,178,9999-12-31,2013-05-08
2/5-1,7.0,3154,3191,0.0,48.000,0.000,48.000,159,203838,0.000,0.000,1282,178,9999-12-31,2013-05-08
2/5-1,8.0,3043,3056,0.0,0.000,0.000,0.000,230,65000,0.000,0.000,0,178,9999-12-31,2013-05-08
2/5-11,1.0,3381,3363,19.0,46.240,0.000,0.000,4,0,0.829,0.000,0,3084,9999-12-31,2013-05-08
2/5-11,2.0,3329,3289,18.1,47.200,0.000,0.000,12,0,0.800,0.000,120,3084,9999-12-31,2013-05-08
2/5-2,1.0,3511,3514,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-2,2.0,3350,3361,0.0,0.000,0.000,0.000,165,39643,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-2,3.0,3300,3315,0.0,0.000,0.000,0.000,377,96276,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-2,4.0,3166,3183,0.0,0.000,0.000,0.000,362,0,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-2,5.0,3166,3183,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,188,9999-12-31,2013-05-08
