fclNpdidFacility,fclSurface,fclCurrentOperatorName,fclName,fclKind,fclBelongsToName,fclBelongsToKind,fclBelongsToS,fclStartupDate,fclWaterDepth,fclFunctions,fclDesignLifetime,fclFactPageUrl,fclFactMapUrl,fclPointGeometryWKT
395215,"N","Statoil Petroleum AS","6407/7-A-4 H","SINGLE WELL TEMPLATE","NJORD","FIELD","43751",2004-01-31,"330.000","GAS INJECTION","0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=395215","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=395215","POINT(7.201603 64.270719)"
395591,"N","Statoil Petroleum AS","KRISTIN Q","MULTI WELL TEMPLATE","KRISTIN","FIELD","1854729",1900-01-01,"360.000","GAS PRODUCER","0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=395591","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=395591","POINT(6.434936 64.881161)"
402804,"N","Talisman Energy Norge AS","15/12-D","SINGLE WELL TEMPLATE","REV","FIELD","4467554",2009-09-01,"113.000","GAS PRODUCER","10","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=402804","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=402804","POINT(1.923231 58.028506)"
403167,"Y","Talisman Energy Norge AS","YME MOPUStor","MOPUStor","YME","FIELD","43807",1900-01-01,"93.000","OFFLOADING - PROCESSING - QUARTER - STORAGE","15","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=403167","http://www.npd.no/FactMapSearch?npdid_facility_surface=403167","POINT(4.535436 57.816089)"
403298,"N","GDF SUEZ E&P Norge AS","GJØA B","MULTI WELL TEMPLATE","GJØA","FIELD","4467574",2010-11-07,"350.000","GAS PRODUCER - OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=403298","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=403298","POINT(3.958686 61.340308)"
403356,"N","GDF SUEZ E&P Norge AS","GJØA C","MULTI WELL TEMPLATE","GJØA","FIELD","4467574",2010-11-07,"350.000","OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=403356","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=403356","POINT(3.958347 61.340842)"
403414,"N","GDF SUEZ E&P Norge AS","GJØA D","MULTI WELL TEMPLATE","GJØA","FIELD","4467574",2010-11-07,"350.000","GAS PRODUCER - OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=403414","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=403414","POINT(3.958922 61.341322)"
403472,"N","Statoil Petroleum AS","GJØA E","MULTI WELL TEMPLATE","VEGA","FIELD","4467595",2010-11-07,"370.000","GAS PRODUCER - OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=403472","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=403472","POINT(4.014744 61.363639)"
403530,"N","GDF SUEZ E&P Norge AS","GJØA F","SINGLE WELL TEMPLATE","GJØA","FIELD","4467574",2010-11-07,"370.000","GAS PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=403530","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=403530","POINT(3.981156 61.388206)"
403588,"Y",NULL,"BRAEFOOT BAY","ONSHORE FACILITY",NULL,NULL,NULL,1900-01-01,"0.000","LANDFALL - PROCESSING","0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=403588","http://www.npd.no/FactMapSearch?npdid_facility_surface=403588","POINT(-2.760383 56.488664)"
403775,"N","Talisman Energy Norge AS","YME BETA","MULTI WELL TEMPLATE","YME","FIELD","43807",1900-01-01,"79.000","OIL PRODUCER - WATER INJECTION","15","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=403775","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=403775","POINT(4.368719 57.7563)"
404044,"N","Talisman Energy Norge AS","YME SLS","LOADING SYSTEM","YME","FIELD","43807",1900-01-01,"93.000","OFFLOADING","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=404044","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=404044","POINT(4.557389 57.824183)"
284657,"N","Statoil Petroleum AS","34/8-A-9 H","SINGLE WELL TEMPLATE","VISUND","FIELD","43745",2012-06-01,"335.000","OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=284657","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=284657","POINT(2.458864 61.370389)"
