fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,dateSyncNPD
VALEMON,4.90,26.10,1.30,0.00,33.47,4.90,26.10,1.30,0.00,33.47,2012-12-31,20460969,2013-05-08
VALHALL,147.40,27.50,5.50,0.00,185.35,41.50,6.90,2.20,0.00,52.58,2012-12-31,43548,2013-05-08
VARG,16.40,1.10,1.00,0.00,19.40,1.40,1.10,1.00,0.00,4.40,2012-12-31,43451,2013-05-08
VEGA,6.60,14.00,2.40,0.00,25.16,5.10,12.20,2.00,0.00,21.10,2012-12-31,4467595,2013-05-08
VESLEFRIKK,54.10,5.70,2.00,0.00,63.60,1.80,3.30,0.70,0.00,6.43,2012-12-31,43618,2013-05-08
VEST EKOFISK,12.20,26.00,1.40,0.00,40.86,0.00,0.00,0.00,0.00,0.00,2012-12-31,43513,2013-05-08
VIGDIS,66.60,1.90,1.20,0.00,70.78,15.00,0.20,0.30,0.00,15.77,2012-12-31,43732,2013-05-08
VILJE,13.60,0.00,0.00,0.00,13.60,6.20,0.00,0.00,0.00,6.20,2012-12-31,3392471,2013-05-08
VISUND,33.90,51.30,6.40,0.00,97.36,11.50,44.30,6.00,0.00,67.20,2012-12-31,43745,2013-05-08
VISUND SØR,2.70,7.30,0.90,0.00,11.71,2.70,7.30,0.90,0.00,11.71,2012-12-31,20461008,2013-05-08
VOLUND,8.60,0.90,0.00,0.00,9.50,4.00,0.50,0.00,0.00,4.50,2012-12-31,4380167,2013-05-08
VOLVE,8.70,0.80,0.20,0.10,9.98,1.00,0.10,0.00,0.00,1.10,2012-12-31,3420717,2013-05-08
YME,22.00,0.00,0.00,0.00,22.00,14.10,0.00,0.00,0.00,14.10,2012-12-31,43807,2013-05-08
YTTERGRYTA,0.30,2.20,0.40,0.00,3.26,0.00,1.00,0.20,0.00,1.38,2012-12-31,4973114,2013-05-08
ØST FRIGG,0.00,9.20,0.00,0.10,9.30,0.00,0.00,0.00,0.00,0.00,2012-12-31,43576,2013-05-08
ÅSGARD,100.40,207.70,39.40,17.10,400.06,18.60,84.10,16.80,0.00,134.62,2012-12-31,43765,2013-05-08
