wlbWellboreName,wlbDrillingOperator,wlbProductionLicence,wlbWellType,wlbPurposePlanned,wlbContent,wlbEntryDate,wlbCompletionDate,wlbField,wlbMainArea,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNpdidWellbore,dateSyncNPD
15/9-U-7,Den norske stats oljeselskap a.s,046,SHALLOW,NULL,NULL,9999-12-31,9999-12-31,NULL,NORTH SEA,ED50,58,25,4,N,1,42,57,E,58.417778,1.715833,6476088.49,424979.14,31,1888,2013-05-08
15/9-U-8,Den norske stats oljeselskap a.s,046,SHALLOW,NULL,NULL,9999-12-31,9999-12-31,NULL,NORTH SEA,ED50,58,25,1,N,1,43,6,E,58.416944,1.718333,6475992.92,425123.41,31,1889,2013-05-08
15/9-U-9,Den norske stats oljeselskap a.s,046,SHALLOW,NULL,NULL,9999-12-31,9999-12-31,NULL,NORTH SEA,ED50,58,25,4,N,1,43,12,E,58.417778,1.720000,6476083.85,425222.54,31,1890,2013-05-08
15/9-U-10,Den norske stats oljeselskap a.s,046,SHALLOW,NULL,NULL,9999-12-31,9999-12-31,NULL,NORTH SEA,ED50,58,25,4,N,1,43,6,E,58.417778,1.718333,6476085.70,425125.18,31,1891,2013-05-08
15/9-U-11,Den norske stats oljeselskap a.s,046,SHALLOW,NULL,NULL,9999-12-31,9999-12-31,NULL,NORTH SEA,ED50,58,25,6,N,1,54,24,E,58.418333,1.906667,6475953.28,436127.94,31,1892,2013-05-08
15/9-U-12,Den norske stats oljeselskap a.s,046,SHALLOW,NULL,NULL,9999-12-31,9999-12-31,NULL,NORTH SEA,ED50,58,22,10,N,1,54,43.6,E,58.369444,1.912111,6470505.05,436357.96,31,2019,2013-05-08
15/9-U-13,StatoilHydro ASA,046,SHALLOW,NULL,NULL,2003-08-18,2003-08-20,NULL,NORTH SEA,ED50,58,29,49.26,N,1,43,21.79,E,58.497017,1.722719,6484902.75,425549.03,31,4938,2013-05-08
15/12-1,Den norske stats oljeselskap a.s,038,EXPLORATION,WILDCAT,OIL SHOWS,1975-07-07,1975-09-06,NULL,NORTH SEA,ED50,58,10,32.6,N,1,44,23.1,E,58.175722,1.739750,6449113.79,425871.87,31,94,2013-05-08
15/12-2,Den norske stats oljeselskap a.s,038,EXPLORATION,WILDCAT,DRY,1976-01-07,1976-02-27,NULL,NORTH SEA,ED50,58,8,31.05,N,1,55,47.27,E,58.141958,1.929797,6445161.61,436990.20,31,331,2013-05-08
15/12-3,Den norske stats oljeselskap a.s,038,EXPLORATION,WILDCAT,DRY,1980-06-21,1980-12-22,NULL,NORTH SEA,ED50,58,14,36.59,N,1,52,45.67,E,58.243497,1.879353,6456514.34,434208.30,31,199,2013-05-08
15/12-4,Den norske stats oljeselskap a.s,038,EXPLORATION,WILDCAT,OIL,1984-09-13,1984-10-31,VARG,NORTH SEA,ED50,58,3,9.16,N,1,54,11.61,E,58.052544,1.903225,6435232.25,435264.02,31,438,2013-05-08
15/12-5,Den norske stats oljeselskap a.s,038,EXPLORATION,WILDCAT,OIL,1986-03-12,1986-05-04,VARG,NORTH SEA,ED50,58,4,53.36,N,1,54,53.24,E,58.081489,1.914789,6438443.61,435998.33,31,113,2013-05-08
15/12-6 S,Den norske stats oljeselskap a.s,038,EXPLORATION,WILDCAT,OIL,1990-08-19,1990-11-04,VARG,NORTH SEA,ED50,58,4,40.3,N,1,53,25.41,E,58.077861,1.890392,6438063.13,434552.91,31,1524,2013-05-08
15/12-7 S,Den norske stats oljeselskap a.s,116,EXPLORATION,WILDCAT,DRY,1990-11-06,1991-01-07,NULL,NORTH SEA,ED50,58,0,49.93,N,1,58,35.54,E,58.013869,1.976539,6430858.60,439525.83,31,1680,2013-05-08
15/12-8,Den norske stats oljeselskap a.s,038,EXPLORATION,WILDCAT,GAS/CONDENSATE,1991-06-05,1991-07-14,NULL,NORTH SEA,ED50,58,3,1.85,N,1,58,3.41,E,58.050514,1.967614,6434946.27,439060.86,31,1778,2013-05-08
15/12-8 A,Den norske stats oljeselskap a.s,038,EXPLORATION,APPRAISAL,GAS/CONDENSATE,1991-07-14,1991-07-29,NULL,NORTH SEA,ED50,58,3,1.85,N,1,58,3.41,E,58.050514,1.967614,6434946.27,439060.86,31,1835,2013-05-08
15/12-9 S,Den norske stats oljeselskap a.s,038,EXPLORATION,APPRAISAL,OIL,1992-07-17,1992-10-08,VARG,NORTH SEA,ED50,58,4,40.43,N,1,53,25.75,E,58.077897,1.890486,6438067.06,434558.55,31,1978,2013-05-08
15/12-10 S,Saga Petroleum ASA,038,EXPLORATION,APPRAISAL,OIL,1996-10-02,1996-11-04,VARG,NORTH SEA,ED50,58,4,40.48,N,1,53,25.56,E,58.077911,1.890433,6438068.65,434555.46,31,2285,2013-05-08
15/12-11 S,Saga Petroleum ASA,116,EXPLORATION,WILDCAT,DRY,1997-04-10,1997-05-19,NULL,NORTH SEA,ED50,58,12,9.78,N,1,42,39.38,E,58.202717,1.710939,6452151.08,424234.79,31,3074,2013-05-08
15/12-12,Saga Petroleum ASA,038,EXPLORATION,WILDCAT,OIL/GAS,2000-12-25,2001-02-09,REV,NORTH SEA,ED50,58,1,40.68,N,1,55,28.34,E,58.027967,1.924539,6432475.78,436478.40,31,3391,2013-05-08
15/12-13,Pertra AS (OLD),038,EXPLORATION,APPRAISAL,DRY,2003-04-23,2003-05-11,REV,NORTH SEA,ED50,58,2,3.83,N,1,55,4.57,E,58.034397,1.917936,6433197.92,436099.90,31,4733,2013-05-08
15/12-13 A,Pertra AS (OLD),038,EXPLORATION,APPRAISAL,DRY,2003-05-11,2003-05-17,REV,NORTH SEA,ED50,58,2,3.83,N,1,55,4.57,E,58.034397,1.917936,6433197.92,436099.90,31,4754,2013-05-08
15/12-13 B,Pertra AS (OLD),038,EXPLORATION,APPRAISAL,OIL/GAS,2003-05-17,2003-06-11,REV,NORTH SEA,ED50,58,2,3.83,N,1,55,4.57,E,58.034397,1.917936,6433197.92,436099.90,31,4759,2013-05-08
15/12-14,Pertra AS (OLD),038,EXPLORATION,APPRAISAL,OIL,2003-12-08,2003-12-31,VARG,NORTH SEA,ED50,58,4,40.47,N,1,53,25.84,E,58.077908,1.890511,6438068.27,434560.05,31,4845,2013-05-08
15/12-15,Pertra AS (OLD),038,EXPLORATION,WILDCAT,DRY,2004-11-19,2004-12-21,NULL,NORTH SEA,ED50,58,2,43.92,N,1,52,22.98,E,58.045533,1.873050,6434481.04,433470.04,31,5017,2013-05-08
15/12-16 S,Talisman Energy Norge AS,038,EXPLORATION,APPRAISAL,GAS/CONDENSATE,2006-02-06,2006-03-31,REV,NORTH SEA,ED50,58,1,40.39,N,1,55,27.97,E,58.027886,1.924436,6432466.91,436472.19,31,5271,2013-05-08
15/12-17 A,Talisman Energy Norge AS,038,EXPLORATION,APPRAISAL,GAS/CONDENSATE,2007-02-04,2007-03-23,REV,NORTH SEA,ED50,58,1,42.68,N,1,55,23.46,E,58.028522,1.923183,6432538.90,436399.33,31,5484,2013-05-08
15/12-17 S,Talisman Energy Norge AS,038,EXPLORATION,APPRAISAL,GAS/CONDENSATE,2006-12-23,2007-02-04,REV,NORTH SEA,ED50,58,1,42.68,N,1,55,23.46,E,58.028522,1.923183,6432538.90,436399.33,31,5442,2013-05-08
15/12-18 A,Det norske oljeselskap ASA (old),337,EXPLORATION,APPRAISAL,OIL,2007-11-08,2007-12-11,NULL,NORTH SEA,ED50,58,12,53.07,N,1,46,40.43,E,58.214742,1.777897,6453416.52,428194.30,31,5608,2013-05-08
15/12-18 S,Det norske oljeselskap ASA (old),337,EXPLORATION,WILDCAT,OIL,2007-09-05,2007-11-07,NULL,NORTH SEA,ED50,58,12,53.07,N,1,46,40.43,E,58.214742,1.777897,6453416.52,428194.30,31,5607,2013-05-08
15/12-19,BG Norge AS,292,EXPLORATION,WILDCAT,OIL/GAS,2008-02-18,2008-05-20,GAUPE,NORTH SEA,ED50,58,0,13.64,N,1,55,16.36,E,58.003789,1.921211,6429787.22,436238.87,31,5705,2013-05-08
15/12-20 S,Talisman Energy Norge AS,038,EXPLORATION,WILDCAT,OIL,2008-05-28,2008-07-01,VARG,NORTH SEA,ED50,58,4,40.53,N,1,53,25.77,E,58.077925,1.890492,6438070.14,434558.93,31,5824,2013-05-08
15/12-21,Talisman Energy Norge AS,038,EXPLORATION,WILDCAT,OIL,2009-03-15,2009-05-21,NULL,NORTH SEA,ED50,58,13,40.47,N,1,52,56.82,E,58.227908,1.882450,6454775.77,434361.34,31,6047,2013-05-08
15/12-21 A,Talisman Energy Norge AS,038,EXPLORATION,APPRAISAL,OIL,2009-05-23,2009-06-21,NULL,NORTH SEA,ED50,58,13,40.47,N,1,52,56.82,E,58.227908,1.882450,6454775.77,434361.34,31,6139,2013-05-08
15/12-22,Det norske oljeselskap ASA,337,EXPLORATION,WILDCAT,DRY,2010-04-17,2010-05-16,NULL,NORTH SEA,ED50,58,12,12.3,N,1,59,14.4,E,58.203417,1.987333,6451951.66,440480.33,31,6326,2013-05-08
15/12-23,Talisman Energy Norge AS,038 D,EXPLORATION,APPRAISAL,OIL,2010-04-01,2010-05-29,NULL,NORTH SEA,ED50,58,13,5.55,N,1,53,3.58,E,58.218208,1.884328,6453694.02,434453.74,31,6327,2013-05-08
15/12-23 A,Talisman Energy Norge AS,038 D,EXPLORATION,APPRAISAL,OIL,2010-05-31,2010-07-18,NULL,NORTH SEA,ED50,58,13,5.55,N,1,53,3.58,E,58.218208,1.884328,6453694.02,434453.74,31,6404,2013-05-08
15/12-A-1,Pertra AS (OLD),038,DEVELOPMENT,PRODUCTION,OIL,2004-03-26,2004-05-31,VARG,NORTH SEA,ED50,58,4,40.53,N,1,53,25.51,E,58.077925,1.890419,6438070.21,434554.67,31,4904,2013-05-08
15/12-A-1 A,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2011-03-04,2011-03-10,VARG,NORTH SEA,ED50,58,4,40.53,N,1,53,25.51,E,58.077925,1.890419,6438070.21,434554.67,31,6515,2013-05-08
15/12-A-1 B,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2013-02-19,2013-04-09,VARG,NORTH SEA,ED50,58,4,40.53,N,1,53,25.51,E,58.077925,1.890419,6438070.21,434554.67,31,7122,2013-05-08
15/12-A-2,Saga Petroleum ASA,038,DEVELOPMENT,PRODUCTION,OIL,1998-09-15,1998-10-02,VARG,NORTH SEA,NULL,58,4,40.56,N,1,53,25.63,E,58.077933,1.890453,6438071.11,434556.65,31,3576,2013-05-08
15/12-A-3,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2005-05-14,2005-06-22,VARG,NORTH SEA,ED50,58,4,40.59,N,1,53,25.72,E,58.077942,1.890478,6438072.01,434558.14,31,5119,2013-05-08
15/12-A-3 A,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2009-09-05,2009-09-29,VARG,NORTH SEA,ED50,58,4,40.59,N,1,53,25.72,E,58.077942,1.890478,6438072.01,434558.14,31,6190,2013-05-08
15/12-A-3 B,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2012-10-29,2013-01-02,VARG,NORTH SEA,ED50,58,4,40.59,N,1,53,25.72,E,58.077942,1.890478,6438072.01,434558.14,31,6998,2013-05-08
15/12-A-4,Saga Petroleum ASA,038,DEVELOPMENT,INJECTION,CUTTINGS,1996-10-02,1996-11-04,VARG,NORTH SEA,ED50,58,4,40.48,N,1,53,25.56,E,58.077911,1.890433,6438068.65,434555.46,31,5393,2013-05-08
15/12-A-5,Saga Petroleum ASA,038,DEVELOPMENT,PRODUCTION,OIL,1998-10-17,1998-12-04,VARG,NORTH SEA,ED50,58,4,40.48,N,1,53,25.6,E,58.077911,1.890444,6438068.64,434556.12,31,3291,2013-05-08
15/12-A-5 A,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2005-09-25,2005-10-10,VARG,NORTH SEA,ED50,58,4,40.48,N,1,53,25.6,E,58.077911,1.890444,6438068.64,434556.12,31,5199,2013-05-08
15/12-A-6,Saga Petroleum ASA,038,DEVELOPMENT,INJECTION,GAS,1999-05-01,1999-06-20,VARG,NORTH SEA,ED50,58,4,40.5,N,1,53,25.69,NULL,58.077917,1.890469,6438069.24,434557.60,31,3293,2013-05-08
15/12-A-6 A,Pertra AS (OLD),038,DEVELOPMENT,PRODUCTION,WATER,2004-02-01,2004-03-15,VARG,NORTH SEA,ED50,58,4,40.5,N,1,53,25.69,E,58.077917,1.890469,6438069.24,434557.60,31,4870,2013-05-08
15/12-A-7,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2005-06-23,2005-07-28,VARG,NORTH SEA,ED50,58,4,40.53,N,1,53,25.77,E,58.077925,1.890492,6438070.14,434558.93,31,5141,2013-05-08
15/12-A-7 A,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2008-05-26,2008-07-01,VARG,NORTH SEA,ED50,58,4,40.53,N,1,53,25.77,E,58.077925,1.890492,6438070.14,434558.93,31,6089,2013-05-08
15/12-A-7 B,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,NULL,2010-01-11,2010-02-06,VARG,NORTH SEA,ED50,58,4,40.53,N,1,53,25.77,E,58.077925,1.890492,6438070.14,434558.93,31,6317,2013-05-08
15/12-A-7 C,Talisman Energy Norge AS,038,DEVELOPMENT,INJECTION,WATER,2010-02-07,2010-02-22,VARG,NORTH SEA,ED50,58,4,40.53,N,1,53,25.77,E,58.077925,1.890492,6438070.14,434558.93,31,6340,2013-05-08
15/12-A-8,Saga Petroleum ASA,038,DEVELOPMENT,PRODUCTION,OIL,1998-05-15,1998-07-04,VARG,NORTH SEA,ED50,58,4,40.55,N,1,53,25.84,E,58.077931,1.890511,6438070.74,434560.09,31,3221,2013-05-08
15/12-A-8 A,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2008-07-30,2008-08-21,VARG,NORTH SEA,ED50,58,4,40.55,N,1,53,25.84,E,58.077931,1.890511,6438070.74,434560.09,31,5877,2013-05-08
15/12-A-9,Pertra AS (OLD),038,DEVELOPMENT,INJECTION,WATER,2004-08-03,2004-11-03,VARG,NORTH SEA,ED50,58,4,40.39,N,1,53,25.58,E,58.077886,1.890439,6438065.86,434555.75,31,4964,2013-05-08
15/12-A-9 A,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2006-08-11,2006-08-29,VARG,NORTH SEA,ED50,58,4,40.39,N,1,53,25.58,E,58.077886,1.890439,6438065.86,434555.75,31,5360,2013-05-08
15/12-A-9 B,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2009-12-07,2009-12-27,VARG,NORTH SEA,ED50,58,4,40.39,N,1,53,25.58,E,58.077886,1.890439,6438065.86,434555.75,31,6282,2013-05-08
15/12-A-10,Pertra AS (OLD),038,DEVELOPMENT,PRODUCTION,OIL,2004-06-01,2004-08-02,VARG,NORTH SEA,ED50,58,4,40.41,N,1,53,25.65,E,58.077892,1.890458,6438066.46,434556.90,31,4947,2013-05-08
15/12-A-10 A,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2009-10-19,2009-11-09,VARG,NORTH SEA,ED50,58,4,40.41,N,1,53,25.65,E,58.077892,1.890458,6438066.46,434556.90,31,6236,2013-05-08
15/12-A-11,Saga Petroleum ASA,038,DEVELOPMENT,PRODUCTION,OIL,1998-08-16,1998-08-31,VARG,NORTH SEA,NULL,58,4,40.43,N,1,53,25.75,E,58.077897,1.890486,6438067.06,434558.55,31,3577,2013-05-08
15/12-A-12,Saga Petroleum ASA,038,DEVELOPMENT,INJECTION,GAS,1999-03-14,1999-09-21,VARG,NORTH SEA,ED50,58,4,40.47,N,1,53,25.84,E,58.077908,1.890511,6438068.27,434560.05,31,3294,2013-05-08
15/12-A-12 A,Pertra AS (OLD),038,DEVELOPMENT,PRODUCTION,OIL,2003-12-08,2003-12-31,VARG,NORTH SEA,ED50,58,4,40.47,N,1,53,25.84,E,58.077908,1.890511,6438068.27,434560.05,31,4875,2013-05-08
15/12-A-12 B,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2006-09-14,2006-10-26,VARG,NORTH SEA,ED50,58,4,40.47,N,1,53,25.84,E,58.077908,1.890511,6438068.27,434560.05,31,5417,2013-05-08
15/12-A-12 C,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,NULL,2011-03-23,2011-04-11,VARG,NORTH SEA,ED50,58,4,40.47,N,1,53,25.84,E,58.077908,1.890511,6438068.27,434560.05,31,6580,2013-05-08
15/12-A-12 D,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,NULL,2011-04-15,2011-04-20,VARG,NORTH SEA,ED50,58,4,40.47,N,1,53,25.84,E,58.077908,1.890511,6438068.27,434560.05,31,6595,2013-05-08
15/12-A-12 E,Talisman Energy Norge AS,038,DEVELOPMENT,PRODUCTION,OIL,2013-01-08,2013-02-12,VARG,NORTH SEA,ED50,58,4,40.47,N,1,53,25.84,E,58.077908,1.890511,6438068.27,434560.05,31,7064,2013-05-08
15/12-A-13,Saga Petroleum ASA,038,DEVELOPMENT,PRODUCTION,OIL,1999-07-19,1999-08-25,VARG,NORTH SEA,ED50,58,4,40.5,N,1,53,25.92,E,58.077917,1.890533,6438069.17,434561.37,31,3295,2013-05-08
15/12-A-14,Saga Petroleum ASA,038,DEVELOPMENT,INJECTION,GAS,1998-07-10,1998-08-15,VARG,NORTH SEA,ED50,58,4,40.36,N,1,53,25.71,E,58.077878,1.890475,6438064.90,434557.86,31,3292,2013-05-08
15/12-A-15,Saga Petroleum ASA,038,DEVELOPMENT,PRODUCTION,NULL,1998-12-25,1999-03-12,VARG,NORTH SEA,ED50,58,4,40.38,N,1,53,25.8,E,58.077883,1.890500,6438065.50,434559.34,31,3296,2013-05-08
15/12-A-15 A,Pertra AS (OLD),038,DEVELOPMENT,PRODUCTION,OIL,2003-01-23,2003-02-19,VARG,NORTH SEA,ED50,58,4,40.38,N,1,53,25.8,E,58.077883,1.890500,6438065.50,434559.34,31,4644,2013-05-08
15/12-A-16,Pertra AS (OLD),038,DEVELOPMENT,INJECTION,WATER,2005-03-29,2005-05-14,VARG,NORTH SEA,ED50,58,4,40.42,N,1,53,25.9,E,58.077894,1.890528,6438066.71,434561.00,31,5073,2013-05-08
15/12-C-1 H,Talisman Energy Norge AS,038 C,DEVELOPMENT,PRODUCTION,GAS,2000-12-25,2001-02-09,REV,NORTH SEA,ED50,58,1,40.68,N,1,55,28.34,E,58.027967,1.924539,6432475.78,436478.40,31,5935,2013-05-08
15/12-C-1 AH,Talisman Energy Norge AS,038 C,DEVELOPMENT,PRODUCTION,GAS,2012-07-15,2012-09-03,REV,NORTH SEA,ED50,58,1,40.68,N,1,55,28.34,E,58.027967,1.924539,6432475.78,436478.40,31,6940,2013-05-08
15/12-C-2 H,Talisman Energy Norge AS,038 C,DEVELOPMENT,PRODUCTION,GAS,2006-02-06,2006-03-31,REV,NORTH SEA,ED50,58,1,40.39,N,1,55,27.97,E,58.027886,1.924436,6432466.91,436472.19,31,5936,2013-05-08
15/12-D-1 H,Talisman Energy Norge AS,038 C,DEVELOPMENT,PRODUCTION,GAS,2008-10-10,2008-11-14,REV,NORTH SEA,ED50,58,1,42.62,N,1,55,23.63,E,58.028506,1.923231,6432537.00,436402.09,31,5937,2013-05-08
15/12-E-1 H,BG Norge AS,292,DEVELOPMENT,PRODUCTION,OIL,2011-05-31,2011-07-11,GAUPE,NORTH SEA,ED50,58,0,43.03,N,1,55,31.57,E,58.011953,1.925436,6430692.12,436503.03,31,6608,2013-05-08
15/12-U-1,Den norske stats oljeselskap a.s,038,SHALLOW,NULL,NULL,1994-03-15,1994-04-07,NULL,NORTH SEA,ED50,58,5,0,N,1,54,0,E,58.083333,1.900000,6438663.07,435129.53,31,2331,2013-05-08
15/12-U-2,Den norske stats oljeselskap a.s,038,SHALLOW,NULL,NULL,1994-03-15,1994-04-07,NULL,NORTH SEA,ED50,58,5,0,N,1,54,0,E,58.083333,1.900000,6438663.07,435129.53,31,2332,2013-05-08
15/12-U-3,Den norske stats oljeselskap a.s,038,SHALLOW,NULL,NULL,1994-03-15,1994-04-07,NULL,NORTH SEA,ED50,58,5,0,N,1,54,0,E,58.083333,1.900000,6438663.07,435129.53,31,2333,2013-05-08
15/12-U-4,Den norske stats oljeselskap a.s,038,SHALLOW,NULL,NULL,1994-03-15,1994-04-07,NULL,NORTH SEA,ED50,58,5,0,N,1,54,0,E,58.083333,1.900000,6438663.07,435129.53,31,2334,2013-05-08
15/12-U-5,Den norske stats oljeselskap a.s,038,SHALLOW,NULL,NULL,1994-03-15,1994-04-07,NULL,NORTH SEA,ED50,58,5,0,N,1,54,0,E,58.083333,1.900000,6438663.07,435129.53,31,2335,2013-05-08
15/12-U-6,Den norske stats oljeselskap a.s,038,SHALLOW,NULL,NULL,1994-03-15,1994-04-07,NULL,NORTH SEA,ED50,58,5,0,N,1,54,0,E,58.083333,1.900000,6438663.07,435129.53,31,2336,2013-05-08
15/12-U-7,Den norske stats oljeselskap a.s,038,SHALLOW,NULL,NULL,1994-03-15,1994-04-07,NULL,NORTH SEA,ED50,58,5,0,N,1,54,0,E,58.083333,1.900000,6438663.07,435129.53,31,2337,2013-05-08
15/12-U-8,Den norske stats oljeselskap a.s,038,SHALLOW,NULL,NULL,1994-03-15,1994-04-07,NULL,NORTH SEA,ED50,58,5,0,N,1,54,0,E,58.083333,1.900000,6438663.07,435129.53,31,2338,2013-05-08
15/12-U-9,Den norske stats oljeselskap a.s,038,SHALLOW,NULL,NULL,1994-03-15,1994-04-07,NULL,NORTH SEA,ED50,58,5,0,N,1,54,0,E,58.083333,1.900000,6438663.07,435129.53,31,2339,2013-05-08
15/12-U-10,Pertra ASA,337,SHALLOW,NULL,NULL,2007-04-20,2007-04-20,NULL,NORTH SEA,ED50,58,12,51.44,N,1,46,37.16,E,58.214289,1.776989,6453367.08,428140.02,31,5546,2013-05-08
15/12-U-11,Pertra ASA,337,SHALLOW,NULL,NULL,2007-04-21,2007-04-21,NULL,NORTH SEA,ED50,58,12,51.96,N,1,46,40.94,E,58.214433,1.778039,6453382.04,428202.00,31,5547,2013-05-08
15/12-U-12,Pertra ASA,337,SHALLOW,NULL,NULL,2007-04-22,2007-04-22,NULL,NORTH SEA,ED50,58,12,53.45,N,1,46,38.07,E,58.214847,1.777242,6453428.97,428156.00,31,5548,2013-05-08
16/1-1,Esso Exploration and Production Norway A/S,001,EXPLORATION,WILDCAT,OIL SHOWS,1967-09-26,1967-12-10,NULL,NORTH SEA,ED50,58,59,18.4,N,2,2,3,E,58.988444,2.034167,6539317.03,444490.52,31,147,2013-05-08
16/1-2,Esso Exploration and Production Norway A/S,001,EXPLORATION,WILDCAT,SHOWS,1976-07-04,1976-08-07,NULL,NORTH SEA,ED50,58,56,9.22,N,2,13,20.06,E,58.935894,2.222239,6533324.63,455231.21,31,332,2013-05-08
16/1-3,Esso Exploration and Production Norway A/S,001,EXPLORATION,WILDCAT,OIL SHOWS,1982-07-29,1982-09-27,NULL,NORTH SEA,ED50,58,48,48.9,N,2,2,56.45,E,58.813583,2.049014,6519834.64,445067.06,31,84,2013-05-08
16/1-4,Den norske stats oljeselskap a.s,167,EXPLORATION,WILDCAT,GAS/CONDENSATE,1993-03-17,1993-04-13,NULL,NORTH SEA,ED50,58,51,55.2,N,2,17,56.12,E,58.865333,2.298922,6525418.88,459562.76,31,2072,2013-05-08
16/1-5,Den norske stats oljeselskap a.s,167,EXPLORATION,WILDCAT,SHOWS,1998-10-12,1998-11-21,NULL,NORTH SEA,ED50,58,47,53.52,N,2,9,12.14,E,58.798200,2.153372,6518040.86,451073.37,31,3279,2013-05-08
16/1-5 A,Den norske stats oljeselskap a.s,167,EXPLORATION,WILDCAT,SHOWS,1998-11-21,1998-12-06,NULL,NORTH SEA,ED50,58,47,53.52,N,2,9,12.14,E,58.798200,2.153372,6518040.86,451073.37,31,3626,2013-05-08
16/1-6 A,Statoil ASA (old),167,EXPLORATION,WILDCAT,DRY,2003-06-08,2003-06-21,NULL,NORTH SEA,ED50,58,59,27.95,N,2,17,43.07,E,58.991097,2.295297,6539424.89,459501.21,31,4767,2013-05-08
16/1-6 S,Statoil ASA (old),167,EXPLORATION,WILDCAT,OIL/GAS,2003-05-22,2003-06-07,NULL,NORTH SEA,ED50,58,59,27.95,N,2,17,43.07,E,58.991097,2.295297,6539424.89,459501.21,31,4711,2013-05-08
16/1-7,Esso Exploration and Production Norway A/S,001 B,EXPLORATION,WILDCAT,OIL,2004-04-29,2004-05-28,NULL,NORTH SEA,ED50,58,55,58.63,N,2,7,42.36,E,58.932953,2.128433,6533063.65,449827.58,31,4928,2013-05-08
16/1-8,Lundin Norway AS,338,EXPLORATION,WILDCAT,OIL,2007-09-08,2007-11-13,EDVARD GRIEG,NORTH SEA,ED50,58,50,8.63,N,2,14,6.36,E,58.835731,2.235100,6522162.97,455844.01,31,5612,2013-05-08
16/1-8 R,Lundin Norway AS,338,EXPLORATION,WILDCAT,OIL,2009-10-02,2009-10-10,EDVARD GRIEG,NORTH SEA,ED50,58,50,8.63,N,2,14,6.36,E,58.835731,2.235100,6522162.97,455844.01,31,6226,2013-05-08
16/1-9,Noil Energy ASA,001 B,EXPLORATION,WILDCAT,OIL/GAS,2008-02-19,2008-04-22,NULL,NORTH SEA,ED50,58,54,48.04,N,2,12,7.25,E,58.913344,2.202014,6530827.42,454037.12,31,5773,2013-05-08
16/1-10,Lundin Norway AS,338,EXPLORATION,APPRAISAL,OIL,2008-11-13,2009-02-05,EDVARD GRIEG,NORTH SEA,ED50,58,51,14.61,N,2,16,30.85,E,58.854058,2.275236,6524177.97,458183.01,31,5879,2013-05-08
16/1-11,Det norske oljeselskap ASA,001 B,EXPLORATION,APPRAISAL,OIL/GAS,2010-02-23,2010-04-26,NULL,NORTH SEA,ED50,58,55,36.15,N,2,11,7.48,E,58.926708,2.185411,6532327.00,453098.97,31,6157,2013-05-08
16/1-11 A,Det norske oljeselskap ASA,001 B,EXPLORATION,APPRAISAL,OIL,2010-04-26,2010-05-09,NULL,NORTH SEA,ED50,58,55,36.15,N,2,11,7.48,E,58.926708,2.185411,6532327.00,453098.97,31,6364,2013-05-08
16/1-12,Lundin Norway AS,338,EXPLORATION,WILDCAT,OIL,2009-07-29,2009-09-08,NULL,NORTH SEA,ED50,58,48,22.53,N,2,15,50.77,E,58.806258,2.264103,6518862.54,457482.17,31,6166,2013-05-08
16/1-13,Lundin Norway AS,338,EXPLORATION,APPRAISAL,OIL,2009-11-30,2010-01-21,EDVARD GRIEG,NORTH SEA,ED50,58,51,17.39,N,2,15,17.8,E,58.854831,2.254944,6524276.81,457013.22,31,6232,2013-05-08
16/1-14,Lundin Norway AS,338,EXPLORATION,WILDCAT,OIL,2010-09-26,2010-11-30,NULL,NORTH SEA,ED50,58,53,9.28,N,2,12,10.46,E,58.885911,2.202906,6527772.15,454052.09,31,6399,2013-05-08
16/1-15,Lundin Norway AS,338,EXPLORATION,WILDCAT,OIL,2011-01-22,2011-04-05,EDVARD GRIEG,NORTH SEA,ED50,58,52,23.82,N,2,15,41.3,E,58.873283,2.261472,6526327.33,457412.51,31,6517,2013-05-08
16/1-15 A,Lundin Norway AS,338,EXPLORATION,APPRAISAL,OIL,2011-04-06,2011-05-13,EDVARD GRIEG,NORTH SEA,ED50,58,52,23.82,N,2,15,41.3,E,58.873283,2.261472,6526327.33,457412.51,31,6593,2013-05-08
