prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,dateSyncNPD
012,1-A,North sea,INACTIVE,1965-09-01,1971-09-01,1678.863,0.000,NULL,20852,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20852,NULL,9999-12-31,9999-12-31,2013-05-08
013,1-A,North sea,INACTIVE,1965-09-01,1978-09-01,1667.530,0.000,NULL,20860,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20860,NULL,9999-12-31,9999-12-31,2013-05-08
014,1-A,North sea,INACTIVE,1965-09-01,1977-09-01,2256.058,0.000,NULL,20868,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20868,NULL,9999-12-31,9999-12-31,2013-05-08
015,1-A,North sea,INACTIVE,1965-09-01,1977-09-01,2237.217,0.000,NULL,20876,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20876,NULL,9999-12-31,9999-12-31,2013-05-08
016,1-A,North sea,INACTIVE,1965-09-01,1994-12-31,2203.126,0.000,NULL,20884,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20884,NULL,9999-12-31,9999-12-31,2013-05-08
017,1-A,North sea,INACTIVE,1965-09-01,1991-12-31,1682.634,0.000,NULL,20892,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20892,NULL,9999-12-31,9999-12-31,2013-05-08
018,1-A,North sea,ACTIVE,1965-09-01,2028-12-31,1752.704,851.767,PRODUCTION EXTENDED,20900,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20900,http://www.npd.no/FactMapSearch?NPDID_production_licence=20900,9999-12-31,9999-12-31,2013-05-08
018 B,Awarded additionaly to round 1-A,North sea,ACTIVE,1995-08-25,2028-12-31,102.503,55.050,PRODUCTION,20908,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20908,http://www.npd.no/FactMapSearch?NPDID_production_licence=20908,9999-12-31,9999-12-31,2013-05-08
018 C,Awarded additionaly to round 1-A,North sea,ACTIVE,2002-12-20,2028-12-31,24.028,24.028,PRODUCTION,2246113,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=2246113,http://www.npd.no/FactMapSearch?NPDID_production_licence=2246113,2013-04-09,2013-04-09,2013-05-08
018 DS,Awarded additionaly to round 1-A,North sea,ACTIVE,2011-11-29,2028-12-31,24.028,24.028,PRODUCTION,21139552,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21139552,http://www.npd.no/FactMapSearch?NPDID_production_licence=21139552,2013-04-09,2013-04-09,2013-05-08
