wlbName,wlbOilSampleTestType,wlbOilSampleTestNumber,wlbOilSampleTopDepth,wlbOilSampleBottomDepth,wlbOilSampleFluidType,wlbOilSampleTestDate,wlbOilSampledateReceivedDate,wlbNpdidWellbore,wlbOilSampleDateUpdated,dateSyncNPD
1/9-1,DST,DST6,3105.00,3109.00,NULL,1977-01-26,1980-01-01,243,9999-12-31,2013-05-08
1/9-1,DST,DST 8,3055.00,3068.00,NULL,1977-01-31,1980-01-01,243,9999-12-31,2013-05-08
1/9-2,DST,DST 1,3197.00,3209.00,NULL,1977-07-27,1980-01-01,244,9999-12-31,2013-05-08
1/9-2,DST,TEST2,3130.00,3154.00,NULL,1977-08-02,1991-10-01,244,9999-12-31,2013-05-08
1/9-3,DST,TEST3,3126.00,3125.00,NULL,1978-09-14,1980-01-01,245,9999-12-31,2013-05-08
1/9-3,DST,TEST4,3094.00,3112.00,NULL,1978-09-19,1980-01-01,245,9999-12-31,2013-05-08
1/9-4,DST,TEST1,3292.00,3296.00,NULL,1977-12-01,1991-10-01,247,9999-12-31,2013-05-08
1/9-4,DST,TEST2,3235.00,3255.00,NULL,1977-12-15,1980-01-01,247,9999-12-31,2013-05-08
1/9-4,DST,TEST3,3176.00,3198.00,NULL,1977-12-24,1980-01-01,247,9999-12-31,2013-05-08
1/9-4,DST,TEST4,3137.00,3127.00,NULL,1977-12-29,1980-01-01,247,9999-12-31,2013-05-08
1/9-6 S,DST,TEST2A,3636.00,3655.00,NULL,1982-09-17,1991-10-01,44,2012-10-12,2013-05-08
1/9-6 S,DST,TEST2B,3655.00,3636.00,NULL,1982-09-17,1991-10-01,44,2012-10-12,2013-05-08
1/9-6 S,DST,TEST3,3523.00,3587.00,NULL,1982-10-03,1991-10-01,44,2012-10-12,2013-05-08
1/9-6 S,DST,TEST4,3417.00,3459.00,NULL,1982-11-25,1991-10-01,44,2012-10-12,2013-05-08
1/9-A-4 H,DST,NULL,3135.40,3307.00,NULL,1988-06-28,1991-10-01,1035,9999-12-31,2013-05-08
1/9-A-6 H,DST,TEST1,3361.00,3410.00,NULL,1988-05-09,1991-10-01,1244,9999-12-31,2013-05-08
15/12-18 S,DST,NULL,0.00,0.00,OIL,9999-12-31,9999-12-31,5607,9999-12-31,2013-05-08
15/12-18 S,MDT,NULL,0.00,2683.60,OIL,9999-12-31,2011-08-06,5607,9999-12-31,2013-05-08
15/12-19,DST,NULL,0.00,0.00,OIL,9999-12-31,2011-06-17,5705,9999-12-31,2013-05-08
15/12-19,DST,NULL,0.00,0.00,WATER,9999-12-31,2011-06-17,5705,9999-12-31,2013-05-08
15/12-5,DST,FMT2,2935.00,2935.00,NULL,1986-04-20,1991-10-01,113,9999-12-31,2013-05-08
15/12-6 S,DST,TEST1,2922.00,2930.00,NULL,1990-10-13,1991-10-01,1524,9999-12-31,2013-05-08
15/12-6 S,DST,TEST2,2875.00,2895.00,NULL,1990-10-24,1991-10-01,1524,9999-12-31,2013-05-08
