wlbWellboreName,wlbNpdidWellbore,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbDrillingFacility,wlbEntryDate,wlbCompletionDate,wlbDrillPermit,wlbTotalDepth,wlbWaterDepth,wlbMainArea,wlbEntryYear,wlbCompletionYear,wlbSeismicLocation,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbDateUpdated,wlbDateUpdatedMax,dateSyncNPD
2/4-U-4,6583,2/4-U-4,Statoil Petroleum AS,146,BUCENTAUR,2010-04-24,2010-04-24,533-G,254.0,68.0,NORTH SEA,2010,2010,NULL,ED50,56,42,0.9,N,3,8,36.8,E,56.7003,3.1436,6284169.33,508791.12,31,2,4,U,4,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-5,6584,2/4-U-5,Statoil Petroleum AS,146,BUCENTAUR,2010-04-28,2010-04-28,534-G,96.0,29.2,NORTH SEA,2010,2010,NULL,ED50,56,41,58.9,N,3,8,37.2,E,56.6997,3.1437,6284107.50,508798.05,31,2,4,U,5,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-6,6585,2/4-U-6,Statoil Petroleum AS,146,BUCENTAUR,2010-04-28,2010-04-28,535-G,95.0,68.0,NORTH SEA,2010,2010,NULL,ED50,56,41,59.6,N,3,8,33.8,E,56.6999,3.1427,6284129.03,508740.17,31,2,4,U,6,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-7,6778,2/4-U-7,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2009-06-11,2009-06-11,580-G,123.0,74.5,NORTH SEA,2009,2009,NULL,ED50,56,31,12,N,3,14,17.23,E,56.5200,3.2381,6264121.38,514651.67,31,2,4,U,7,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-8,6779,2/4-U-8,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2009-06-11,2009-06-11,581-G,111.0,73.2,NORTH SEA,2009,2009,NULL,ED50,56,31,14.05,N,3,14,18.97,E,56.5206,3.2386,6264184.87,514681.19,31,2,4,U,8,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-9,6780,2/4-U-9,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2009-06-10,2009-06-10,582-G,114.0,73.9,NORTH SEA,2009,2009,NULL,ED50,56,31,12.19,N,3,14,21.31,E,56.5201,3.2393,6264127.50,514721.39,31,2,4,U,9,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-10,6781,2/4-U-10,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2009-06-11,2009-06-11,583-G,112.0,74.4,NORTH SEA,2009,2009,NULL,ED50,56,31,10.86,N,3,14,14.32,E,56.5197,3.2373,6264085.96,514602.06,31,2,4,U,10,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-11,5889,2/4-U-11,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-23,2008-08-25,430-G,143.0,79.2,NORTH SEA,2008,2008,NULL,ED50,56,32,35.06,N,3,13,32.16,E,56.5431,3.2256,6266686.97,513872.91,31,2,4,U,11,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-12,5890,2/4-U-12,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-22,2008-08-23,431-G,142.0,79.2,NORTH SEA,2008,2008,NULL,ED50,56,32,35.61,N,3,13,30.04,E,56.5432,3.2250,6266703.86,513836.64,31,2,4,U,12,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-13,5891,2/4-U-13,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-06,2008-08-08,432-G,159.0,79.3,NORTH SEA,2008,2008,NULL,ED50,56,32,33.89,N,3,13,31.15,E,56.5427,3.2253,6266650.74,513855.78,31,2,4,U,13,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-14,5892,2/4-U-14,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-07-30,2008-07-31,433-G,141.0,78.0,NORTH SEA,2008,2008,NULL,ED50,56,32,34.45,N,3,13,29.04,E,56.5429,3.2247,6266667.94,513819.68,31,2,4,U,14,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-15,5893,2/4-U-15,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-15,2008-08-15,434-G,144.0,80.0,NORTH SEA,2008,2008,NULL,ED50,56,32,39.5,N,3,13,27.57,E,56.5443,3.2243,6266824.00,513794.06,31,2,4,U,15,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-16,5894,2/4-U-16,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-11,2008-08-11,435-G,126.0,80.0,NORTH SEA,2008,2008,NULL,ED50,56,32,40.15,N,3,13,26.63,E,56.5445,3.2241,6266844.05,513777.93,31,2,4,U,16,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-17,5895,2/4-U-17,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-14,2008-08-14,436-G,143.0,80.0,NORTH SEA,2008,2008,NULL,ED50,56,32,39.11,N,3,13,26.28,E,56.5442,3.2240,6266811.87,513772.06,31,2,4,U,17,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-18,5896,2/4-U-18,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-08,2008-08-08,437-G,128.0,80.0,NORTH SEA,2008,2008,NULL,ED50,56,32,39.67,N,3,13,25.46,E,56.5444,3.2237,6266829.14,513758.00,31,2,4,U,18,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-19,5897,2/4-U-19,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-27,2008-08-27,438-G,143.0,79.0,NORTH SEA,2008,2008,NULL,ED50,56,32,39.74,N,3,13,37.52,E,56.5444,3.2271,6266831.98,513963.99,31,2,4,U,19,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-20,5898,2/4-U-20,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-28,2008-08-28,439-G,143.0,79.5,NORTH SEA,2008,2008,NULL,ED50,56,32,40.55,N,3,13,35.42,E,56.5446,3.2265,6266856.91,513928.03,31,2,4,U,20,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-21,5899,2/4-U-21,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-17,2008-08-17,440-G,144.0,80.0,NORTH SEA,2008,2008,NULL,ED50,56,32,38.74,N,3,13,36.4,E,56.5441,3.2268,6266801.00,513944.96,31,2,4,U,21,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-22,5900,2/4-U-22,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-25,2008-08-25,441-G,143.0,79.0,NORTH SEA,2008,2008,NULL,ED50,56,32,39.49,N,3,13,34.12,E,56.5443,3.2261,6266824.06,513905.94,31,2,4,U,22,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-23,5901,2/4-U-23,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-07-25,2008-07-25,442-G,128.0,79.0,NORTH SEA,2008,2008,NULL,ED50,56,32,42.65,N,3,13,38.93,E,56.5452,3.2275,6266922.04,513987.77,31,2,4,U,23,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-24,5902,2/4-U-24,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-07-26,2008-07-26,443-G,127.0,79.0,NORTH SEA,2008,2008,NULL,ED50,56,32,41.53,N,3,13,35.37,E,56.5449,3.2265,6266887.20,513927.08,31,2,4,U,24,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-25,5903,2/4-U-25,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-07-29,2008-07-29,444-G,127.0,79.0,NORTH SEA,2008,2008,NULL,ED50,56,32,40.39,N,3,13,38.92,E,56.5446,3.2275,6266852.16,513987.83,31,2,4,U,25,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-26,5904,2/4-U-26,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-07,2008-08-07,445-G,127.0,79.0,NORTH SEA,2008,2008,NULL,ED50,56,32,44.05,N,3,13,40.4,E,56.5456,3.2279,6266965.41,514012.74,31,2,4,U,26,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/4-U-27,5938,2/4-U-27,ConocoPhillips Skandinavia AS,018,BUCENTAUR,2008-08-29,2008-08-29,457-G1,127.0,78.8,NORTH SEA,2008,2008,NULL,ED50,56,32,10.79,N,3,12,39.17,E,56.5363,3.2109,6265933.67,512970.07,31,2,4,U,27,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
