wlbName,wlbDocumentType,wlbDocumentName,wlbDocumentUrl,wlbDocumentFormat,wlbDocumentSize,wlbNpdidWellbore,wlbDocumentDateUpdated,dateSyncNPD
2/6-2,GEOCHEMICAL INFORMATION,224_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/224_2.pdf,pdf,10011,224,9999-12-31,2013-05-08
2/6-2,GEOCHEMICAL INFORMATION,224_3,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/224_3.pdf,pdf,249,224,9999-12-31,2013-05-08
2/6-2,GEOCHEMICAL INFORMATION,224_4,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/224_4.pdf,pdf,12468,224,9999-12-31,2013-05-08
2/6-2,GEOCHEMICAL INFORMATION,224_5,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/224_5.pdf,pdf,382,224,9999-12-31,2013-05-08
2/6-2,OLD NPD WDSS,224_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/224_01_WDSS_General_Information.pdf,pdf,129,224,9999-12-31,2013-05-08
2/6-2,OLD NPD WDSS,224_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/224_02_WDSS_completion_log.pdf,pdf,305,224,9999-12-31,2013-05-08
2/6-2,REPORTED BY LICENSEE,224_00_2_6_2_Completion_Log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/224_00_2_6_2_Completion_Log.pdf,pdf,3012,224,9999-12-31,2013-05-08
2/6-2,REPORTED BY LICENSEE,224_00_2_6_2_Completion_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/224_00_2_6_2_Completion_Report.pdf,pdf,7848,224,9999-12-31,2013-05-08
2/6-3,COMPOSITE LOG,64,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/64.pdf,pdf,732,64,2013-01-22,2013-05-08
2/6-3,OLD NPD WDSS,64_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/64_01_WDSS_General_Information.pdf,pdf,163,64,9999-12-31,2013-05-08
2/6-3,OLD NPD WDSS,64_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/64_02_WDSS_completion_log.pdf,pdf,338,64,9999-12-31,2013-05-08
2/6-3,REPORTED BY LICENSEE,64_01_2_6_3_Completion_Report_Geological,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/64_01_2_6_3_Completion_Report_Geological.pdf,pdf,15996,64,9999-12-31,2013-05-08
2/6-3,REPORTED BY LICENSEE,64_02_2_6_3_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/64_02_2_6_3_Completion_log.pdf,pdf,1966,64,9999-12-31,2013-05-08
2/6-4 S,OLD NPD WDSS,1527_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1527_01_WDSS_General_Information.pdf,pdf,180,1527,9999-12-31,2013-05-08
2/6-4 S,OLD NPD WDSS,1527_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1527_02_WDSS_completion_log.pdf,pdf,202,1527,9999-12-31,2013-05-08
2/6-5,COMPOSITE LOG,2885,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/2885.pdf,pdf,437,2885,9999-12-31,2013-05-08
2/7-1,NPD PAPER,179_01_NPD_Paper_No.30_Geology_of_the_Eldfisk_Area__Well_2_7_1,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/179_01_NPD_Paper_No.30_Geology_of_the_Eldfisk_Area__Well_2_7_1.pdf,pdf,72884,179,9999-12-31,2013-05-08
2/7-1,NPD PAPER,179_02_NPD_Paper_No.32_Late_Jurassic-early_Tertiary_Correlation_chart_Profile_3__Well_2_7_1,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/179_02_NPD_Paper_No.32_Late_Jurassic-early_Tertiary_Correlation_chart_Profile_3__Well_2_7_1.pdf,pdf,739,179,9999-12-31,2013-05-08
2/7-1,NPD PAPER,179_03_NPD_Paper_No.30_Early_Tertiary-Late_Jurassic_Correlation_chart_Eldfisk__Well_2_7_1,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/179_03_NPD_Paper_No.30_Early_Tertiary-Late_Jurassic_Correlation_chart_Eldfisk__Well_2_7_1.pdf,pdf,824,179,9999-12-31,2013-05-08
2/7-1,OLD NPD WDSS,179_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/179_01_WDSS_General_Information.pdf,pdf,167,179,9999-12-31,2013-05-08
2/7-10,COMPOSITE LOG,269,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/269.pdf,pdf,294,269,9999-12-31,2013-05-08
2/7-10,OLD NPD WDSS,269_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/269_01_WDSS_General_Information.pdf,pdf,255,269,9999-12-31,2013-05-08
2/7-10,REPORTED BY LICENSEE,269_01_2_7_10_Final_Well_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/269_01_2_7_10_Final_Well_Report.pdf,pdf,3705,269,9999-12-31,2013-05-08
2/7-10,REPORTED BY LICENSEE,269_02_2_7_10_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/269_02_2_7_10_Completion_log.pdf,pdf,3970,269,9999-12-31,2013-05-08
2/7-11,NPD PAPER,270_01_NPD_Paper_No.32_Geology_of_the_southernmost_part_of_the_Norwegian_section_of_the_Central_Trough__Well_2_7_11,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/270_01_NPD_Paper_No.32_Geology_of_the_southernmost_part_of_the_Norwegian_section_of_the_Central_Trough__Well_2_7_11.pdf,pdf,24435,270,9999-12-31,2013-05-08
2/7-11,NPD PAPER,270_02_NPD_Paper_No.32_Late_Cretaceous-early_Tertiary_Correlation_chart_Valhall-Hod_Fields__Well_2_7_11,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/270_02_NPD_Paper_No.32_Late_Cretaceous-early_Tertiary_Correlation_chart_Valhall-Hod_Fields__Well_2_7_11.pdf,pdf,542,270,9999-12-31,2013-05-08
2/7-11,NPD PAPER,270_03_NPD_Paper_No.32_Stratigraphic_Correlation_chart_Profile_4__Well_2_7_11,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/270_03_NPD_Paper_No.32_Stratigraphic_Correlation_chart_Profile_4__Well_2_7_11.pdf,pdf,535,270,9999-12-31,2013-05-08
2/7-11,OLD NPD WDSS,270_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/270_01_WDSS_General_Information.pdf,pdf,245,270,9999-12-31,2013-05-08
2/7-12,GEOCHEMICAL INFORMATION,271_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/271_1.pdf,pdf,785,271,9999-12-31,2013-05-08
2/7-12,OLD NPD WDSS,271_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/271_01_WDSS_General_Information.pdf,pdf,112,271,9999-12-31,2013-05-08
2/7-12,REPORTED BY LICENSEE,271_01_2_7_12_Completion_Report_and_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/271_01_2_7_12_Completion_Report_and_Completion_log.pdf,pdf,12929,271,9999-12-31,2013-05-08
2/7-13,COMPOSITE LOG,272,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/272.pdf,pdf,340,272,9999-12-31,2013-05-08
2/7-13,GEOCHEMICAL INFORMATION,272_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/272_1.pdf,pdf,698,272,9999-12-31,2013-05-08
2/7-13,GEOCHEMICAL INFORMATION,272_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/272_2.pdf,pdf,201,272,9999-12-31,2013-05-08
2/7-13,OLD NPD WDSS,272_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/272_01_WDSS_General_Information.pdf,pdf,111,272,9999-12-31,2013-05-08
2/7-13,OLD NPD WDSS,272_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/272_02_WDSS_completion_log.pdf,pdf,202,272,9999-12-31,2013-05-08
2/7-13,REPORTED BY LICENSEE,272_01_2_7_13_Completion_Report_and_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/272_01_2_7_13_Completion_Report_and_Completion_log.pdf,pdf,24190,272,9999-12-31,2013-05-08
2/7-13,REPORTED BY LICENSEE,272_02_2_7_13_Drilling_Completion_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/272_02_2_7_13_Drilling_Completion_Report.pdf,pdf,165498,272,9999-12-31,2013-05-08
