prlName,prlLicenseeDateValidFrom,prlLicenseeDateValidTo,cmpLongName,prlLicenseeInterest,prlLicenseeSdfi,prlOperDateValidFrom,prlOperDateValidTo,prlNpdidLicence,cmpNpdidCompany,prlLicenseeDateUpdated,dateSyncNPD
006,1965-09-01,1989-04-14,Texas Eastern Norwegian Inc.,28.33333,NULL,9999-12-31,9999-12-31,20804,837,9999-12-31,2013-05-08
006 B,2010-01-02,9999-12-31,BP Norge AS,35.83333,NULL,2002-03-12,9999-12-31,1333048,2052695,9999-12-31,2013-05-08
006 B,2010-01-02,9999-12-31,Hess Norge AS,64.16667,NULL,9999-12-31,9999-12-31,1333048,4038735,9999-12-31,2013-05-08
006 B,2010-01-01,2010-01-02,Enterprise Oil Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,1853786,9999-12-31,2013-05-08
006 B,2010-01-01,2010-01-02,BP Norge AS,35.83333,NULL,2002-03-12,9999-12-31,1333048,2052695,9999-12-31,2013-05-08
006 B,2010-01-01,2010-01-02,Hess Norge AS,35.83333,NULL,9999-12-31,9999-12-31,1333048,4038735,9999-12-31,2013-05-08
006 B,2006-06-26,2010-01-01,Enterprise Oil Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,1853786,9999-12-31,2013-05-08
006 B,2006-06-26,2010-01-01,BP Norge AS,28.33333,NULL,2002-03-12,9999-12-31,1333048,2052695,9999-12-31,2013-05-08
006 B,2006-06-26,2010-01-01,Total E&P Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333048,2410708,9999-12-31,2013-05-08
006 B,2006-06-26,2010-01-01,Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,4038735,9999-12-31,2013-05-08
006 B,2003-05-06,2006-06-26,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,67,9999-12-31,2013-05-08
006 B,2003-05-06,2006-06-26,Enterprise Oil Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,1853786,9999-12-31,2013-05-08
006 B,2003-05-06,2006-06-26,BP Norge AS,28.33333,NULL,2002-03-12,9999-12-31,1333048,2052695,9999-12-31,2013-05-08
006 B,2003-05-06,2006-06-26,Total E&P Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333048,2410708,9999-12-31,2013-05-08
006 B,2002-03-12,2003-05-06,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,67,9999-12-31,2013-05-08
006 B,2002-03-12,2003-05-06,TotalFinaElf Exploration Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333048,1340884,9999-12-31,2013-05-08
006 B,2002-03-12,2003-05-06,Enterprise Oil Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,1853786,9999-12-31,2013-05-08
006 B,2002-03-12,2003-05-06,BP Norge AS,28.33333,NULL,2002-03-12,9999-12-31,1333048,2052695,9999-12-31,2013-05-08
006 B,2001-12-31,2002-03-12,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,67,9999-12-31,2013-05-08
006 B,2001-12-31,2002-03-12,BP Amoco Norge AS,28.33333,NULL,2000-10-09,2002-03-12,1333048,982372,9999-12-31,2013-05-08
006 B,2001-12-31,2002-03-12,TotalFinaElf Exploration Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333048,1340884,9999-12-31,2013-05-08
006 B,2001-12-31,2002-03-12,Enterprise Oil Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,1853786,9999-12-31,2013-05-08
006 B,2000-10-09,2001-12-31,Enterprise Oil Norwegian AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,342,9999-12-31,2013-05-08
