seaName,seaPlanFromDate,seaNpdidSurvey,seaStatus,seaGeographicalArea,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaPlanToDate,seaDateStarting,seaDateFinalized,seaCdpTotalKm,seaBoatTotalKm,sea3DKm2,seaSampling,seaShallowDrilling,seaGeotechnical,dateSyncNPD
ST13003,2013-04-01,7773,Pågående,Nordsjøen,Ordinær seismisk undersøkelse,4D,Statoil ASA,2013-07-10,2013-04-03,9999-12-31,NULL,NULL,583.09,NULL,NULL,NULL,2013-05-08
ST13459,2013-04-01,7806,Pågående,Barentshavet - Sør,Grunnundersøkelser,Ikke seismikk,Statoil Petroleum AS,2013-07-20,2013-05-06,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
ST13461,2013-04-01,7805,Planlagt,Barentshavet - Sør,Grunnundersøkelser,Ikke seismikk,Statoil Petroleum AS,2013-06-28,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
ST13462,2013-04-01,7804,Planlagt,Barentshavet - Sør,Grunnundersøkelser,Ikke seismikk,Statoil Petroleum AS,2013-06-28,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
SUN13001,2013-04-01,7789,Pågående,Nordsjøen,Ordinær seismisk undersøkelse,3D,Suncor Energy Norge AS,2013-06-30,2013-04-05,9999-12-31,NULL,NULL,1038.68,NULL,NULL,NULL,2013-05-08
SWB13,2013-04-01,7814,Planlagt,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,CGG Veritas Services SA,2013-10-15,9999-12-31,9999-12-31,NULL,NULL,6784.99,NULL,NULL,NULL,2013-05-08
ST13456,2013-03-27,7799,Ferdig,Nordsjøen,Grunnundersøkelser,Ikke seismikk,Statoil Petroleum AS,2013-05-07,2013-04-15,2013-04-28,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
WIN13301,2013-03-26,7802,Pågående,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Wintershall Norge AS,2013-05-31,2013-04-13,9999-12-31,NULL,NULL,NULL,Nei,Nei,Nei,2013-05-08
LN13501,2013-03-25,7826,Planlagt,Barentshavet - Sør,Grunnundersøkelser,Ikke seismikk,Lundin Norway AS,2013-04-15,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Nei,2013-05-08
RD1304,2013-03-21,7825,Ferdig,Norskehavet,Grunnundersøkelser,Ikke seismikk,RWE Dea Norge AS,2013-04-20,2013-03-28,2013-04-09,187,187,NULL,Nei,Nei,Nei,2013-05-08
MC3D-Q162013,2013-03-20,7782,Pågående,Nordsjøen,Ordinær seismisk undersøkelse,3D,Multiklient Invest AS,2013-10-15,2013-03-22,9999-12-31,NULL,NULL,1218.16,NULL,NULL,NULL,2013-05-08
MCG1301,2013-03-19,7796,Pågående,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,MultiClient Geophysical AS,2013-06-30,2013-03-22,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST13304,2013-03-16,7803,Planlagt,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2013-06-19,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Ja,2013-05-08
CE13300,2013-03-15,7770,Planlagt,Nordsjøen,Borestedundersøkelse / sitesurvey,Ikke seismikk,Centrica Energi,2013-08-15,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Ja,Ja,2013-05-08
SS1303,2013-03-15,7793,Planlagt,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Searcher Seismic Pty Ltd,2013-08-30,9999-12-31,9999-12-31,NULL,NULL,4282.05,NULL,NULL,NULL,2013-05-08
ST13451-MAR,2013-03-15,7792,Avlyst,Nordsjøen,Grunnundersøkelser,Ikke seismikk,Statoil ASA,2013-04-15,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
EMGS1303,2013-03-14,7817,Planlagt,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2013-09-01,9999-12-31,9999-12-31,NULL,NULL,21328.17,NULL,NULL,NULL,2013-05-08
ST13314,2013-03-13,7795,Pågående,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2013-06-07,2013-04-21,9999-12-31,NULL,NULL,NULL,Nei,Nei,Ja,2013-05-08
CP13L05,2013-03-10,7790,Ferdig,Nordsjøen,Havbunnseismisk undersøkelse,4D,ConocoPhillips Skandinavia AS,2013-04-30,2013-03-13,2013-04-30,2840,2840,191.17,NULL,NULL,NULL,2013-05-08
DOLPH-13013D,2013-03-05,7810,Planlagt,Nordsjøen,Ordinær seismisk undersøkelse,3D,Dolphin Geophysical AS,2013-05-31,9999-12-31,9999-12-31,NULL,NULL,9040.19,NULL,NULL,NULL,2013-05-08
EMGS1301,2013-03-01,7772,Pågående,Barentshavet - Sør,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2013-09-30,2013-04-15,9999-12-31,NULL,NULL,201294.43,NULL,NULL,NULL,2013-05-08
EMGS1302,2013-03-01,7797,Pågående,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2013-09-01,2013-03-09,9999-12-31,NULL,NULL,39953.69,NULL,NULL,NULL,2013-05-08
FP13,2013-03-01,7774,Pågående,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,TGS Nopec Geophysical Company  ASA,2013-06-30,2013-03-09,9999-12-31,NULL,NULL,3647.32,NULL,NULL,NULL,2013-05-08
